"","reads.in","reads.out","",""
"ERR2969572.fastq",12768,12502,12410,11545
"ERR2969573.fastq",16768,16454,16188,15096
"ERR2969574.fastq",14353,14003,13580,12253
"ERR2969575.fastq",10056,9841,9682,9252
"ERR2969576.fastq",27184,26562,26300,20624
"ERR2969577.fastq",15526,15128,14807,13598
"ERR2969578.fastq",24015,23540,22996,21013
"ERR2969579.fastq",14509,14178,13908,12273
"ERR2969580.fastq",10148,9932,9788,9239
"ERR2969581.fastq",7957,7775,7626,7343
"ERR2969582.fastq",8293,7949,7527,7268
"ERR2969583.fastq",9718,9481,9334,8202
"ERR2969584.fastq",9796,9585,9405,8687
"ERR2969585.fastq",21408,20893,20408,17493
"ERR2969586.fastq",8138,7966,7593,7324
"ERR2969587.fastq",25435,24823,24290,22357
"ERR2969588.fastq",12301,11959,11678,10216
"ERR2969589.fastq",18456,18023,17828,14284
"ERR2969590.fastq",25045,24502,24258,19631
"ERR2969591.fastq",19136,18720,18338,16559
"ERR2969592.fastq",9762,9503,9373,7372
"ERR2969593.fastq",7483,7323,7277,6765
"ERR2969594.fastq",26428,25861,25349,22311
"ERR2969595.fastq",20288,19770,19251,17992
"ERR2969596.fastq",6140,5971,5771,5399
"ERR2969597.fastq",4197,4097,4026,3817
"ERR2969598.fastq",18732,18365,17942,16565
"ERR2969599.fastq",17622,17181,16666,14019
"ERR2969600.fastq",5868,5721,5438,4799
"ERR2969601.fastq",7684,7540,7436,6888
"ERR2969602.fastq",21388,20970,20561,19416
"ERR2969603.fastq",13567,13271,12836,11646
"ERR2969604.fastq",41332,40408,39798,32622
"ERR2969605.fastq",25676,25169,24452,21532
