,inchikey,hmdb,kegg,fingerprints
-_Phe-Phe,GKZIWHRNKRBEOH-UHFFFAOYSA-N,HMDB0013302,,11100000011110110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000110000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000001111000000000000100000000100000000000000000000000110000101000110000011001100000000100001100000000100010000010110000000000001000000000100010000000001000100001110100100001100000000000000000100000000000000000001000000000000000000000000010001000100010000001100010000000000010001000000010100110000000110010100000001001000100110001100101000110000000000000001001001001011000000000100110001000100000000111100110001100100010100000100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C01029_N8-Acetylspermidine,FONIWJIDLJEJTL-UHFFFAOYSA-N,HMDB0002189,C01029,11100000011100110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000000000000000000000000000100000000000110000011000000000000100000000100000000000000010110000000000000000000000000010000000000000000001000100000001000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000001100000000000000000001000000000000000000000000000001011000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C01035_gamma-Guanidinobutyrate,TUHVEAJXIMEOSA-UHFFFAOYSA-N,HMDB0003464,C01035,11000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000000000110000011000000000000100000000010000100000000010010000000000001000000000001010000000000000000000100100000010110000000000000000000000000000000001000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000001000000000000000000000000100000000000000000001000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C03592_5-Methyl-2'-deoxycytidine,LUCHPKXVUGJYGU-XLPZGREQSA-N,HMDB0002224,C03592,11000000011100110011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000110000010100111000011000000000000110000000110000000000000011010000000000011000000000101010000000001000000010011001100111010000000000100000000000000000000001000000000000000000000000000000000000000000000000001010000000000000010000100000010001000000000010000000001000000100000000000011100100000000000000000001110000011000000010000000110000000000000000101100000011000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C02713_N-Acetylmuramate,MNLRQHMNZILYPY-MKFCKLDKSA-N,HMDB0060493,C02713,11100000011100100011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000111100111100011000000000000111000000100000100000000010110000000000011000000000000010000000000000000001100100000001100000000010000000000000000000000000000000000000000000000000000000000000000010000001010010000000000000000000000100110001000000000010000000001000000000000100000001110100000000000000000001110001011000000000100101110000000000000001111100000111000000000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00147_Adenine,GFFGJBXGBJISGV-UHFFFAOYSA-N,HMDB0000034,C00147,10000000011000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000001011000000000011111100000000000000000000001110000000000000100000000000000000000000000000000100000001000000000010001011100000100000001011111000010111110110010011001000000000000101000000000000100000110011000010110010000000000100000001000000000101101100100010001000010100000000000010101000110100000001010000101010000010000100000000100100000000000010000000100100001000000000101000000010000001000000010000000000000000010010000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00519_Hypotaurine,VVIUBCNYACGLLV-UHFFFAOYSA-N,HMDB0000965,C00519,10000000010000100011000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110000000100000100000000100000000000000000000000000000000000110001010100000000000100100000000000000000000000010000000000000010000010000000000000000000000000000000000000000001100000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00584_Prostaglandin E2,XEYBRNLFEZDVAW-ARSRFYASSA-N,HMDB0001220,C00584,11110000011110000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000110100010100101000001000000000000010000000100000100000000000000000000000001000000000100010000000000010100000110100100000100000000000000000000000000000000000001000000000000000000000000010000000100000000001000000000000000000001000000000000001010000010110000000000000000100000000000000000101000000000000000001001110000000000000000010000001000000000011100010101100100010000000100011101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000110000000000000000000
C08279_Tiglate,UIERETOOQGIECD-ONEGZZNKSA-N,HMDB0001470,C08279,11000000011000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000110000000000100000001000000000000000000000100000100000000000000000000000001000000000100010000000001000100000110100100000100000000000000000000000000000000000000000000000000000000000000000000000100000000001000000000000000001000000000000000000010000000000000000000000000100000000000000000101000000000000000000000000000000000000000000000001000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00048_Glyoxylate,HHLFWLYXYJOTON-UHFFFAOYSA-N,HMDB0000119,C00048,00000000010000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000000000000000101000001000000000000010000000000000100000000000000000000000001000000000000010000000000000001000100100001000100000000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
